index;2sents_before_after;1sent_before_after;ctx_before2;ctx_before2_speaker;ctx_before1;ctx_before1_speaker;question;question_speaker;ctx_after1;ctx_after1_speaker;ctx_after2;ctx_after2_speaker;label
12;And if he doesnt do that, I think theres going to be some people out there that question his sincerity the other day. Drew, in a column yesterday, you talked about this second chance for Vick. You used the phrase -morality of convenience.-      Now, obviously its in his interest and maybe in the Eagles interest to get him back wearing a helmet and throwing a football, but do the media play along with this? In other words, are we going to kind of forget about the dogfighting thing and just chronicle whether he can make it on the gridiron? And its not just the dogfighting, Howie.;Drew, in a column yesterday, you talked about this second chance for Vick. You used the phrase -morality of convenience.-      Now, obviously its in his interest and maybe in the Eagles interest to get him back wearing a helmet and throwing a football, but do the media play along with this? In other words, are we going to kind of forget about the dogfighting thing and just chronicle whether he can make it on the gridiron?;And if he doesnt do that, I think theres going to be some people out there that question his sincerity the other day.;MIKE WISE;Drew, in a column yesterday, you talked about this second chance for Vick.;HOWARD KURTZ;You used the phrase -morality of convenience.-      Now, obviously its in his interest and maybe in the Eagles interest to get him back wearing a helmet and throwing a football, but do the media play along with this?;HOWARD KURTZ;In other words, are we going to kind of forget about the dogfighting thing and just chronicle whether he can make it on the gridiron?;HOWARD KURTZ;And its not just the dogfighting, Howie.;DREW SHARP;Deliberative
13;You probably heard what happened. A new before, Josh Elliott quit to join archrival NBC. But why wasnt he back on the show at all? Well, as one source said, hes crossing enemy lines. This source called NBC the sworn enemy of ABC.;A new before, Josh Elliott quit to join archrival NBC. But why wasnt he back on the show at all? Well, as one source said, hes crossing enemy lines.;You probably heard what happened.;BRIAN STELTER;A new before, Josh Elliott quit to join archrival NBC.;BRIAN STELTER;But why wasnt he back on the show at all?;BRIAN STELTER;Well, as one source said, hes crossing enemy lines.;BRIAN STELTER;This source called NBC the sworn enemy of ABC.;BRIAN STELTER;Rhetorical
14;Tell me why your decision to take the pledge shouldnt be seen as a blatant appeal to the party base, sir? Youre pro-choice, youre pro-gay rights, youre pro- gun control, you supported Mario Cuomo for governor over a Republican. Are those the stands of a conservative? You have said that you personally hate abortion but support a womans right to choose. Governor Huckabee says thats like saying, I hate slavery, but people can go ahead and practice it.;Youre pro-choice, youre pro-gay rights, youre pro- gun control, you supported Mario Cuomo for governor over a Republican. Are those the stands of a conservative? You have said that you personally hate abortion but support a womans right to choose.;Tell me why your decision to take the pledge shouldnt be seen as a blatant appeal to the party base, sir?;WENDELL GOLER;Youre pro-choice, youre pro-gay rights, youre pro- gun control, you supported Mario Cuomo for governor over a Republican.;CHRIS WALLACE;Are those the stands of a conservative?;CHRIS WALLACE;You have said that you personally hate abortion but support a womans right to choose.;WENDELL GOLER;Governor Huckabee says thats like saying, I hate slavery, but people can go ahead and practice it.;WENDELL GOLER;Rhetorical
15;All right. Deborah Norville, we decided -- I decided on this program last Sunday to talk about this because Sarah Palin had put out this blistering statement, ripping Levi Johnston as a liar and distorting the facts and all of that. Did the governor, you know, boost the ratings of these programs by blowing it up into this big public family feud? I think theres no question, because when an elected official who was campaigning for the second-highest office in the land issues a statement, were obligated in the news media to pay attention. This could have been a story that you could have ignored and everyone else could have ignored if they had simply stayed on -The Tyra Banks Show.-  Then CBS News goes and sends one of their prime morning anchors to do an interview with this fellow.;Deborah Norville, we decided -- I decided on this program last Sunday to talk about this because Sarah Palin had put out this blistering statement, ripping Levi Johnston as a liar and distorting the facts and all of that. Did the governor, you know, boost the ratings of these programs by blowing it up into this big public family feud? I think theres no question, because when an elected official who was campaigning for the second-highest office in the land issues a statement, were obligated in the news media to pay attention.;All right.;HOWARD KURTZ;Deborah Norville, we decided -- I decided on this program last Sunday to talk about this because Sarah Palin had put out this blistering statement, ripping Levi Johnston as a liar and distorting the facts and all of that.;HOWARD KURTZ;Did the governor, you know, boost the ratings of these programs by blowing it up into this big public family feud?;HOWARD KURTZ;I think theres no question, because when an elected official who was campaigning for the second-highest office in the land issues a statement, were obligated in the news media to pay attention.;DEBORAH NORVILLE;This could have been a story that you could have ignored and everyone else could have ignored if they had simply stayed on -The Tyra Banks Show.-  Then CBS News goes and sends one of their prime morning anchors to do an interview with this fellow.;DEBORAH NORVILLE;Deliberative
16;I think for all of the candidates, when they were up on that stage, you could tell that being out on the stump on August really improved their debate performance. I think that was reflected in media coverage. Werent journalists too quick to basically say McCain had no chance? Maybe. His campaign did implode.;I think that was reflected in media coverage. Werent journalists too quick to basically say McCain had no chance? Maybe.;I think for all of the candidates, when they were up on that stage, you could tell that being out on the stump on August really improved their debate performance.;AMY HOLMES;I think that was reflected in media coverage.;AMY HOLMES;Werent journalists too quick to basically say McCain had no chance?;HOWARD KURTZ;Maybe.;RYAN LIZZA;His campaign did implode.;RYAN LIZZA;Deliberative
17;A woman was married to a pretty well-known journalist.  It was about me.  Did you feel compelled to write this?  That you wanted to not only share what you had been through as a journalist, a person, as a woman, as a mom, but also to redirect this debate a little bit.  I did. ;It was about me.  Did you feel compelled to write this?  That you wanted to not only share what you had been through as a journalist, a person, as a woman, as a mom, but also to redirect this debate a little bit. ;A woman was married to a pretty well-known journalist. ;HOWARD KURTZ,;It was about me. ;ELSA WALSH,;Did you feel compelled to write this? ;KURTZ,;That you wanted to not only share what you had been through as a journalist, a person, as a woman, as a mom, but also to redirect this debate a little bit. ;ELSA WALSH,;I did. ;ELSA WALSH,;Deliberative
18;And do you -- but, you know, how far would you take that? What if the ratings came in and every day Iraq was a loser? Youre not going to not cover the war, are you? Thats true. But you know what?;What if the ratings came in and every day Iraq was a loser? Youre not going to not cover the war, are you? Thats true.;And do you -- but, you know, how far would you take that?;KURTZ, HOST (voice over);What if the ratings came in and every day Iraq was a loser?;KURTZ, HOST (voice over);Youre not going to not cover the war, are you?;KURTZ, HOST (voice over);Thats true.;STEVE FRIEDMAN;But you know what?;STEVE FRIEDMAN;OTHERS
19;They brought him in on MSNBC. Contessa Brewer sat there and said, -Can you believe what is happening to Paris?-  And Tommy Chong actually sat back and said, -Who died? Who embezzled money? Why are we talking about this?- Well...;Contessa Brewer sat there and said, -Can you believe what is happening to Paris?-  And Tommy Chong actually sat back and said, -Who died? Who embezzled money? Why are we talking about this?-;They brought him in on MSNBC.;MATTHEW FELLING;Contessa Brewer sat there and said, -Can you believe what is happening to Paris?-  And Tommy Chong actually sat back and said, -Who died?;MATTHEW FELLING;Who embezzled money?;MATTHEW FELLING;Why are we talking about this?-;MATTHEW FELLING;Well...;BLANQUITA CULLUM;OTHERS
20;That aspect of life is not going to change. So it actually behooves people who are actually facing controversial things to be very, very careful when theyre going in that theyre not going to start pressing all these buttons. Why are you so willing to accept it as a fact of life? I mean, it seems to me that, especially if race is involved, if religion is involved, if some fringe character like this pastor Terry Jones is involved, we not only obsess on this story, we practically create the story. And youre saying that I should just accept that because thats the way it is.;So it actually behooves people who are actually facing controversial things to be very, very careful when theyre going in that theyre not going to start pressing all these buttons. Why are you so willing to accept it as a fact of life? I mean, it seems to me that, especially if race is involved, if religion is involved, if some fringe character like this pastor Terry Jones is involved, we not only obsess on this story, we practically create the story.;That aspect of life is not going to change.;TINA BROWN;So it actually behooves people who are actually facing controversial things to be very, very careful when theyre going in that theyre not going to start pressing all these buttons.;TINA BROWN;Why are you so willing to accept it as a fact of life?;HOWARD KURTZ;I mean, it seems to me that, especially if race is involved, if religion is involved, if some fringe character like this pastor Terry Jones is involved, we not only obsess on this story, we practically create the story.;HOWARD KURTZ;And youre saying that I should just accept that because thats the way it is.;HOWARD KURTZ;OTHERS
21;This has been an interesting week. But you know whats kind of funny, is it was a big blip on Monday and, of course, people are still talking about it. But how much is it going to impact the ratings at -Good Morning America-? Ill be interested to see what this past weeks numbers are when they come out later this week. In the last two years or so, -GMA- has held up remarkably well no matter what happens.;But you know whats kind of funny, is it was a big blip on Monday and, of course, people are still talking about it. But how much is it going to impact the ratings at -Good Morning America-? Ill be interested to see what this past weeks numbers are when they come out later this week.;This has been an interesting week.;DEBORAH NORVILLE;But you know whats kind of funny, is it was a big blip on Monday and, of course, people are still talking about it.;DEBORAH NORVILLE;But how much is it going to impact the ratings at -Good Morning America-?;DEBORAH NORVILLE;Ill be interested to see what this past weeks numbers are when they come out later this week.;DEBORAH NORVILLE;In the last two years or so, -GMA- has held up remarkably well no matter what happens.;BRIAN STELTER;ISQ
22;And should journalists be digging into her personal life? Limited appetite. Why are the media hungry for every last morsel about Michelle Obama except when she puts out a detailed White House report on childhood obesity? Plus, fear of Facebook. Is the Internets biggest social hangout obliterating your privacy?;Limited appetite. Why are the media hungry for every last morsel about Michelle Obama except when she puts out a detailed White House report on childhood obesity? Plus, fear of Facebook.;And should journalists be digging into her personal life?;KURTZ, HOST (voice-over);Limited appetite.;KURTZ, HOST (voice-over);Why are the media hungry for every last morsel about Michelle Obama except when she puts out a detailed White House report on childhood obesity?;KURTZ, HOST (voice-over);Plus, fear of Facebook.;KURTZ, HOST (voice-over);Is the Internets biggest social hangout obliterating your privacy?;KURTZ, HOST (voice-over);Deliberative
23;I think its very true that it was time to scrutinize her because she was on the national stage. But -- Its fair scrutiny? And its fair scrutiny because shes new on the national stage and these things happen. The problem for the media, as always in these cases, is her response is, oh, the liberal media.;But -- Its fair scrutiny? And its fair scrutiny because shes new on the national stage and these things happen.;I think its very true that it was time to scrutinize her because she was on the national stage.;CRAIG CRAWFORD;But --;CRAIG CRAWFORD;Its fair scrutiny?;HOWARD KURTZ;And its fair scrutiny because shes new on the national stage and these things happen.;CRAIG CRAWFORD;The problem for the media, as always in these cases, is her response is, oh, the liberal media.;CRAIG CRAWFORD;Deliberative
25;That is a very interesting discussion to you and me, and I think its a very boring discussion for the public. And I think that -- Why should it be boring? I dont think its boring at all. Howie, this is the problem we have with the media.;And I think that -- Why should it be boring? I dont think its boring at all.;That is a very interesting discussion to you and me, and I think its a very boring discussion for the public.;ARAVOSIS;And I think that --;ARAVOSIS;Why should it be boring?;HOWARD KURTZ;I dont think its boring at all.;AMY HOLMES;Howie, this is the problem we have with the media.;ARAVOSIS;Deliberative
27;He said to avoid a conflict of interest. Intense media coverage of this, David Frum. Was it about this earth-shattering issue of the relationship, or was it about Iraq? Well, I think this is one of the amazing media angles, is this is probably the first story in history where -The Financial Times- played the role of -National Enquirer-. They were the recipient of all of the most poisonous leaks from the World Bank staff.;Intense media coverage of this, David Frum. Was it about this earth-shattering issue of the relationship, or was it about Iraq? Well, I think this is one of the amazing media angles, is this is probably the first story in history where -The Financial Times- played the role of -National Enquirer-.;He said to avoid a conflict of interest.;KURTZ, HOST (voice over);Intense media coverage of this, David Frum.;KURTZ, HOST (voice over);Was it about this earth-shattering issue of the relationship, or was it about Iraq?;KURTZ, HOST (voice over);Well, I think this is one of the amazing media angles, is this is probably the first story in history where -The Financial Times- played the role of -National Enquirer-.;DAVID FRUM;They were the recipient of all of the most poisonous leaks from the World Bank staff.;DAVID FRUM;Deliberative
28;Crime stories. As conservative pundits demand a pardon for Scooter Libby, who faces two-and-a-half years behind bars, Paris Hilton mysteriously gets sprung from jail after three days before heading back to the slammer. Which story do you think is consuming more media oxygen? Terror talk. Were news organizations used to hype the plot to bomb Kennedy airport when those arrested had no explosives or anything else?;As conservative pundits demand a pardon for Scooter Libby, who faces two-and-a-half years behind bars, Paris Hilton mysteriously gets sprung from jail after three days before heading back to the slammer. Which story do you think is consuming more media oxygen? Terror talk.;Crime stories.;KURTZ, HOST (voice over);As conservative pundits demand a pardon for Scooter Libby, who faces two-and-a-half years behind bars, Paris Hilton mysteriously gets sprung from jail after three days before heading back to the slammer.;KURTZ, HOST (voice over);Which story do you think is consuming more media oxygen?;KURTZ, HOST (voice over);Terror talk.;KURTZ, HOST (voice over);Were news organizations used to hype the plot to bomb Kennedy airport when those arrested had no explosives or anything else?;KURTZ, HOST (voice over);Rhetorical
29;And as Ben said, its been a messy rollout, which complicates things even further. What do you like about it, Ben? Name one thing for me that you like about it? Well, I like the pre-existing condition aspect of it. I certainly think thats something thats very important and a lot of conservatives were in favor of.;What do you like about it, Ben? Name one thing for me that you like about it? Well, I like the pre-existing condition aspect of it.;And as Ben said, its been a messy rollout, which complicates things even further.;HILL;What do you like about it, Ben?;BRIAN STELTER;Name one thing for me that you like about it?;BRIAN STELTER;Well, I like the pre-existing condition aspect of it.;FERGUSON;I certainly think thats something thats very important and a lot of conservatives were in favor of.;FERGUSON;Deliberative
30;John Edwards had called a news conference a day after his wife Elizabeth had a medical checkup on her progress from breast cancer. We all wanted to know, was the news bad? And how would it affect his presidential campaign? About an hour before the former senator spoke, the Web site politico.com posted what looked like a major scoop -- -Edwards to Suspend Campaign-. Reuters also said that Edwards would stop campaigning, each organization citing one unnamed reports.;We all wanted to know, was the news bad? And how would it affect his presidential campaign? About an hour before the former senator spoke, the Web site politico.com posted what looked like a major scoop -- -Edwards to Suspend Campaign-.;John Edwards had called a news conference a day after his wife Elizabeth had a medical checkup on her progress from breast cancer.;KURTZ, HOST (voice over);We all wanted to know, was the news bad?;KURTZ, HOST (voice over);And how would it affect his presidential campaign?;KURTZ, HOST (voice over);About an hour before the former senator spoke, the Web site politico.com posted what looked like a major scoop -- -Edwards to Suspend Campaign-.;KURTZ, HOST (voice over);Reuters also said that Edwards would stop campaigning, each organization citing one unnamed reports.;KURTZ, HOST (voice over);Rhetorical
31;And thats always the way that Ive tried to approach this. Lets make some distinctions here, because my producers sometimes call up potential guests and try to get a general sense on where they stand on something, not because they want them to say something, but because we dont want to put on, say, three people on a segment who all think President Obama walks on water. But isnt there a difference between that, you know, feeling out a guests general view on a topic, and this notion of, are you willing to say this, are you willing to say that Hillarys untrustworthy? And you well know, and I think for some guests who want to be on television who have more than you do, or dont have the platform that you do, that they kind of think, well, I better go along here or otherwise Im not going to get booked. Ill say what they want.;Lets make some distinctions here, because my producers sometimes call up potential guests and try to get a general sense on where they stand on something, not because they want them to say something, but because we dont want to put on, say, three people on a segment who all think President Obama walks on water. But isnt there a difference between that, you know, feeling out a guests general view on a topic, and this notion of, are you willing to say this, are you willing to say that Hillarys untrustworthy? And you well know, and I think for some guests who want to be on television who have more than you do, or dont have the platform that you do, that they kind of think, well, I better go along here or otherwise Im not going to get booked.;And thats always the way that Ive tried to approach this.;SMERCONISH;Lets make some distinctions here, because my producers sometimes call up potential guests and try to get a general sense on where they stand on something, not because they want them to say something, but because we dont want to put on, say, three people on a segment who all think President Obama walks on water.;HOWARD KURTZ;But isnt there a difference between that, you know, feeling out a guests general view on a topic, and this notion of, are you willing to say this, are you willing to say that Hillarys untrustworthy?;HOWARD KURTZ;And you well know, and I think for some guests who want to be on television who have more than you do, or dont have the platform that you do, that they kind of think, well, I better go along here or otherwise Im not going to get booked.;HOWARD KURTZ;Ill say what they want.;HOWARD KURTZ;Rhetorical
32;One of the reporters, they separated at a state fair and they started walking around. One of the reporters said, Im torn, I dont know which one to follow. Would you say, Amy Holmes, that the tone of these interviews with Bill Clinton is awfully friendly? In some circles the former president is still a controversial figure. Certainly, but he does have high favor abilities among the American people.;One of the reporters said, Im torn, I dont know which one to follow. Would you say, Amy Holmes, that the tone of these interviews with Bill Clinton is awfully friendly? In some circles the former president is still a controversial figure.;One of the reporters, they separated at a state fair and they started walking around.;RYAN LIZZA;One of the reporters said, Im torn, I dont know which one to follow.;RYAN LIZZA;Would you say, Amy Holmes, that the tone of these interviews with Bill Clinton is awfully friendly?;HOWARD KURTZ;In some circles the former president is still a controversial figure.;HOWARD KURTZ;Certainly, but he does have high favor abilities among the American people.;AMY HOLMES;Deliberative
33;Its the Laci Peterson syndrome, its the Natalee Holloway syndrome. CNN, MSNBC, FOX News, morning shows are trying to create emotional stories that they can follow and of course try to... What about the Lindbergh baby, Howie? Well... Theyre not creating them.;CNN, MSNBC, FOX News, morning shows are trying to create emotional stories that they can follow and of course try to... What about the Lindbergh baby, Howie? Well...;Its the Laci Peterson syndrome, its the Natalee Holloway syndrome.;KURTZ, HOST (voice over);CNN, MSNBC, FOX News, morning shows are trying to create emotional stories that they can follow and of course try to...;KURTZ, HOST (voice over);What about the Lindbergh baby, Howie?;STEVE FRIEDMAN;Well...;KURTZ, HOST (voice over);Theyre not creating them.;GENEVA OVERHOLSER;OTHERS
34;So, you made the transition from black newspapers to mainstream newspapers right as the civil rights movement was heating up. Yes. Whats your sense of the difference how mainstream newspapers covered this versus what you saw in the black press? Well, let me make amend. There were a lot of black papers that supported the movement, papers in New Orleans, -The Black Dispatch,- obviously, -The Pittsburgh Courier-, who had a great reporter covering it.;Yes. Whats your sense of the difference how mainstream newspapers covered this versus what you saw in the black press? Well, let me make amend.;So, you made the transition from black newspapers to mainstream newspapers right as the civil rights movement was heating up.;ERIC DEGGANS;Yes.;PAUL DELANEY;Whats your sense of the difference how mainstream newspapers covered this versus what you saw in the black press?;ERIC DEGGANS;Well, let me make amend.;PAUL DELANEY;There were a lot of black papers that supported the movement, papers in New Orleans, -The Black Dispatch,- obviously, -The Pittsburgh Courier-, who had a great reporter covering it.;PAUL DELANEY;Deliberative
35;The world is a better place for the world you create on -Sesame Street.-        (END VIDEO CLIP) And Mark Halperin, is the president out there a bit too much? And are the media complicit? I mean, every program wants to put him on including, apparently, -Sesame Street.- He is a great content provider, and hes going to continue to do it.;And Mark Halperin, is the president out there a bit too much? And are the media complicit? I mean, every program wants to put him on including, apparently, -Sesame Street.-;The world is a better place for the world you create on -Sesame Street.-        (END VIDEO CLIP);OBAMA;And Mark Halperin, is the president out there a bit too much?;HOWARD KURTZ;And are the media complicit?;HOWARD KURTZ;I mean, every program wants to put him on including, apparently, -Sesame Street.-;HOWARD KURTZ;He is a great content provider, and hes going to continue to do it.;HALPERIN;Deliberative
36;My question for you is, what are you going to do to restore this country back to what our founders created according to the Constitution? Katy, were you happy with the answer that you got from the senator today? My best friend Karen (ph) called me and she said, -Katy, youre on YouTube.-  Im like, -What? Thats odd.-      But, you know, honestly, after I asked the question, I was so just -- I dont know. I didnt hear half of what he said, to be honest with you.;Katy, were you happy with the answer that you got from the senator today? My best friend Karen (ph) called me and she said, -Katy, youre on YouTube.-  Im like, -What? Thats odd.-      But, you know, honestly, after I asked the question, I was so just -- I dont know.;My question for you is, what are you going to do to restore this country back to what our founders created according to the Constitution?;KATY ABRAM;Katy, were you happy with the answer that you got from the senator today?;SEAN HANNITY;My best friend Karen (ph) called me and she said, -Katy, youre on YouTube.-  Im like, -What?;KATY ABRAM;Thats odd.-      But, you know, honestly, after I asked the question, I was so just -- I dont know.;KATY ABRAM;I didnt hear half of what he said, to be honest with you.;KATY ABRAM;OTHERS
37;We have had a narrowing of the conversation about democracy, especially on television. But throughout the media, weve become so sort of identified with corporate interests and with the powers that be. And I think part of that is the economic crunch weve all gone through, you know? Al Jazeera in general is oriented towards whats called global south, which is the equator, people south of the equator. People who had been the victims of colonialization.;But throughout the media, weve become so sort of identified with corporate interests and with the powers that be. And I think part of that is the economic crunch weve all gone through, you know? Al Jazeera in general is oriented towards whats called global south, which is the equator, people south of the equator.;We have had a narrowing of the conversation about democracy, especially on television.;DAVID ZURAWIK;But throughout the media, weve become so sort of identified with corporate interests and with the powers that be.;DAVID ZURAWIK;And I think part of that is the economic crunch weve all gone through, you know?;DAVID ZURAWIK;Al Jazeera in general is oriented towards whats called global south, which is the equator, people south of the equator.;DAVID ZURAWIK;People who had been the victims of colonialization.;DAVID ZURAWIK;Rhetorical
